Result,@,Tweet 1,Tweet 2,Tweet 3,Tweet 4,Tweet 5,Tweet 6
Bread & Roses,@breadrosesDSA,I got @breadrosesDSA on this quiz [link},"Our task is to build a democratic socialist organization rooted in the multiracial working class, capable of developing leaders, strengthening class struggle, and winning lasting gains. I got Bread & Roses on the TeenJ DSA Caucus Quiz. Join @breadrosesDSA and take this quiz [link]","🥖🌹🥖🌹🥖🌹
take the quiz
🥖🌹🥖🌹🥖🌹
[link]",I am first member of DSA to have a real job. Please join me and my 12 remaining comrades @breadrosesDSA and take this quiz [link],Got kicked from Camejo Mansion for baling too hard. Join @breadrosesDSA and take this quiz [link],Whatsapp isn't that bad. I got @breadrosesDSA on this quiz and you should too [link]
Groundwork,@GroundworkDSA,I got @GroundworkDSA on this quiz [link},"Our task is to turn socialist politics outward, grow beyond subculture, and build a student movement with the scale, seriousness, and clarity needed to shape the future of the left. I got Groundwork on the TeenJ DSA Caucus Quiz. Join @GroundworkDSA and take this quiz [link]","🪴🪴🪴🪴🪴
take the quiz
🪴🪴🪴🪴🪴
[link]",I just hit an #ultra with my Tesla. Join @GroundworkDSA and take this quiz [link],"If Chi Osse were alive today, he would be my friend on Signal and join @GroundworkDSA. [link]",I fully support everything Nate has ever done. Take this quiz NOW [link]
Carnation Program,@CarnationDSA,I got @CarnationDSA on this quiz [link},"Our task is to approach socialist organization with seriousness, discipline, and strategic clarity, so that our politics can be equal to the scale of the crises we face. I got Carnation Program on the TeenJ DSA Caucus Quiz. Join @CarnationDSA and take this quiz [link]",,Abdullah Farooq is very handsome. Join @CarnationDSA and take this quiz [link],"“Medicine is the keystone of the arch of socialism.”
-Vladimir Lenin (supposedly) Join @CarnationDSA and take this quiz [link]","The @CarnationDSA Program call for:
Medicare for All
Bring Down The Cost of Living
End Political Corruption
Unions for All
End US Militarism
And for YOU to take this quiz [link]"
Reform & Revolution (Milnerite),@dsaRandR,I got @dsaRandR on this quiz [link},"Our task is to connect today’s organizing to a larger strategy for building socialist power, treating theory, political independence, and organization as essential rather than optional. I got Reform & Revolution on the TeenJ DSA Caucus Quiz. Join @dsaRandR and take this quiz [link]","🔱🔱🔱🔱🔱
take the quiz
🔱🔱🔱🔱🔱
[link]",Am I Transgender? I just got @dsaRandR on the TeenJ DSA Caucus Quiz [link],we CAN be trusted. Join @dsaRandR and take this quiz [link],I am a big fan of @dsaRandR but the new logo is AWFUL. Take this quiz [link]
Reform & Revolution (Lockerite),@dsaRandR,I got @dsaRandR on this quiz [link},"Our task is to build the kind of socialist organization that can link immediate struggles to a long-term strategy for party-building, class power, and transformation. I got Reform & Revolution on the TeenJ DSA Caucus Quiz. Join @dsaRandR and take this quiz [link]","🚩🔧🚩🔧🚩🔧
take the quiz
🚩🔧🚩🔧🚩🔧
[link]",MY STUDENTS ARE ALL MORONS! Join @dsaRandR and take this quiz [link],I got @dsaRandR (Lockerite) on this quiz and now a Teenager with an affinty for stimulants is chasing after me with a hammer [link] ,I am a big fan of @dsaRandR but the new logo is AWFUL. Take this quiz [link]
Marxist Unity Group,@MarxistUnityDSA,I got @MarxistUnityDSA on this quiz [link},"Our task is to forge a more coherent socialist organization with the programmatic clarity, democratic discipline, and political independence needed to act effectively as a national force. I got Marxist Unity Group on the TeenJ DSA Caucus Quiz. Join @MarxistUnityDSA and take this quiz [link]","🍻🍻🍻🍻🍻
take the quiz
🍻🍻🍻🍻🍻
[link]","If Karl Kautsky were alive today, he would be my friend on Facebook and join @MarxistUnityDSA. [link]",Donald Parkinson sounds exactly like the comicbook store guy from the Simpson but he has many interesting persepctives. Join @MarxistUnityDSA and take this quiz [link],"""Fuck the constitution"" - @MarxistUnityDSA. Take this quiz [link]"
Springs of Revolution,@SOR4DSA,I got @SOR4DSA on this quiz [link},"Our task is to build a socialist politics equal to this moment, rooted in struggle against imperialism, oppression, and war, while helping develop the mass movements that can change society. I got Springs of Revolution on the TeenJ DSA Caucus Quiz. Join @SOR4DSA and take this quiz [link]",,It took me forever but I FINALLY got @SOR4DSA on this quiz [link],"FROM THE RIVER TO THE SEA, pls come take this quiz with me :) [link] ",
Red Star Caucus,@RedStarCaucus,I got @RedStarCaucus on this quiz [link},"Our task is to rebuild a socialist politics grounded in class struggle, anti-imperialism, and serious engagement with the lessons of international communist history. I got Red Star on the TeenJ DSA Caucus Quiz. Join @RedStarCaucus and take this quiz [link]","🌟🌟🌟🌟🌟
take the quiz
🌟🌟🌟🌟🌟
[link]",邓小平有许多好主意。加入@RedStarCaucus，参加这个测验。[link],,
Liberation Caucus,@LiberationCaucus,I got @LiberationCaucus on this quiz [link},"Our task is to build disciplined socialist leadership, deepen political education, and strengthen organization for the struggles against capitalism, imperialism, and oppression. I got Liberation on the TeenJ DSA Caucus Quiz. Join @dsaliberation and take this quiz [link]","⛓️‍💥⛓️‍💥⛓️‍💥⛓️‍💥⛓️‍💥
take the quiz
⛓️‍💥⛓️‍💥⛓️‍💥⛓️‍💥⛓️‍💥
[link]",KILL ALL WHITE PEOPLE!!! and take this quiz [link],"J, Sakai was Japanese btw. Join @LiberationCaucus and take this quiz to learn more [link]",
Socialist Majority,@DSASocMaj,I got @DSASocMaj on this quiz [link},"Our task is to build a broad socialist majority capable of winning reforms, expanding our base, and bringing more people into durable political struggle. I got Socialist Majority on the TeenJ DSA Caucus Quiz. Join @DSASocMaj and take this quiz [link]","✨✨✨✨✨
take the quiz
✨✨✨✨✨
[link]",If you critcize Zohran I will kill myself. Join @DSASocMaj and take this quiz [link],"If David Duhalde were alive today, he would be my friend and join @DSASocMaj. [link]",I have been directed by very small groupchat in a very large groupchat (@DSASocMaj) to take this quiz [link]
